1765 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
1765 [main] INFO  c.n.sweng.MealControllerTests - Starting MealControllerTests using Java 17.0.2 on DESKTOP-OJSJJ0O with PID 9904 (started by lukas in C:\Users\lukas\IdeaProjects\nutritionapp)
1765 [main] INFO  c.n.sweng.MealControllerTests - The following 1 profile is active: "test"
6232 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@69069866, org.springframework.security.web.context.SecurityContextPersistenceFilter@5432dca2, org.springframework.security.web.header.HeaderWriterFilter@11cadb32, org.springframework.security.web.authentication.logout.LogoutFilter@342a1f84, com.nutrition.sweng.security.JwtFilter@ac417a2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a90fcaa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@702f4124, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@64c95480, org.springframework.security.web.session.SessionManagementFilter@667a467f, org.springframework.security.web.access.ExceptionTranslationFilter@3386ed8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6f1d799]
6404 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
6404 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
6404 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
6482 [main] INFO  c.n.sweng.MealControllerTests - Started MealControllerTests in 5.591 seconds (JVM running for 7.734)
6716 [main] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'Authorization' for method parameter type String is not present]
