1802 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
1814 [main] INFO  c.nutrition.sweng.PersistenceTests - Starting PersistenceTests using Java 17.0.2 on DESKTOP-OJSJJ0O with PID 33820 (started by lukas in C:\Users\lukas\IdeaProjects\nutritionapp)
1816 [main] INFO  c.nutrition.sweng.PersistenceTests - The following 1 profile is active: "test"
2559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2951 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 374 ms. Found 7 JPA repository interfaces.
3054 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
3526 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:51ca2be7-5a36-45f6-b427-dbf44d038ecb;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
4100 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
4250 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.8.Final
4589 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
4860 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
6223 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
6234 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
7417 [main] INFO  c.nutrition.sweng.PersistenceTests - Started PersistenceTests in 6.541 seconds (JVM running for 8.837)
