1818 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
1818 [main] INFO  c.n.sweng.FoodControllerTests - Starting FoodControllerTests using Java 17.0.2 on DESKTOP-OJSJJ0O with PID 25532 (started by lukas in C:\Users\lukas\IdeaProjects\nutritionapp)
1818 [main] INFO  c.n.sweng.FoodControllerTests - The following 1 profile is active: "test"
5982 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@58636b50, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d4d65f5, org.springframework.security.web.header.HeaderWriterFilter@126675fd, org.springframework.security.web.authentication.logout.LogoutFilter@3386ed8, com.nutrition.sweng.security.JwtFilter@7f4f1536, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@11228bee, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2487e20, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1ad1b737, org.springframework.security.web.session.SessionManagementFilter@33f349ae, org.springframework.security.web.access.ExceptionTranslationFilter@44aeae34, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@210635fd]
6126 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
6126 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
6126 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
6186 [main] INFO  c.n.sweng.FoodControllerTests - Started FoodControllerTests in 5.267 seconds (JVM running for 7.404)
6405 [main] INFO  c.n.sweng.Controller.FoodController - Received POST-Request /rest/food/
