2187 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2188 [main] INFO  c.n.sweng.MealControllerTests - Starting MealControllerTests using Java 17.0.2 on DESKTOP-OJSJJ0O with PID 11244 (started by lukas in C:\Users\lukas\IdeaProjects\nutritionapp)
2189 [main] INFO  c.n.sweng.MealControllerTests - The following 1 profile is active: "test"
6569 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7d90644f, org.springframework.security.web.context.SecurityContextPersistenceFilter@7da77305, org.springframework.security.web.header.HeaderWriterFilter@2ecdf528, org.springframework.security.web.authentication.logout.LogoutFilter@c82d925, com.nutrition.sweng.security.JwtFilter@f810c18, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e606f64, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c67395, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@59f3426f, org.springframework.security.web.session.SessionManagementFilter@349f3ff7, org.springframework.security.web.access.ExceptionTranslationFilter@61ad30f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@77d0dbba]
6705 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
6706 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
6707 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
6765 [main] INFO  c.n.sweng.MealControllerTests - Started MealControllerTests in 5.477 seconds (JVM running for 8.344)
6984 [main] INFO  c.n.sweng.Controller.MealController - Received GET-Request /rest/meal/tellAJoke/Ich möchte einen Witz hören
