2938 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2966 [main] INFO  c.nutrition.sweng.PersistenceTests - Starting PersistenceTests using Java 17.0.2 on DESKTOP-OJSJJ0O with PID 4932 (started by lukas in C:\Users\lukas\IdeaProjects\nutritionapp)
2966 [main] INFO  c.nutrition.sweng.PersistenceTests - The following 1 profile is active: "test"
4217 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
4891 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 643 ms. Found 7 JPA repository interfaces.
5048 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
5755 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:8a35da38-fbf5-4a7d-b5fc-f8937cdfd0af;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
6470 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
6673 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.8.Final
7204 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
7579 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
10019 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10035 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
12004 [main] INFO  c.nutrition.sweng.PersistenceTests - Started PersistenceTests in 10.57 seconds (JVM running for 13.922)
